UK Food,US Matches
Wispa bar,"Crisp, rhubarb(60.87% match #53415600); "
"Chocolate, couverture","Fruit, chocolate covered(66.67% match #63401070); Halvah, chocolate covered(65.22% match #91716110); Nougat, chocolate covered(65.22% match #91726410); "
"Turkish delight, without nuts",
Yogurt coated nuts and raisins,
Cereal chewy bar,Fiber One Chewy Bar(62.86% match #53710400); Milk n Cereal bar(60.61% match #53710600); 
"Fudge, homemade","Fudge, chocolate(64.52% match #91713030); "
"Turkish delight, with nuts","Caramel, with nuts(63.64% match #91703030); "
Coconut ice,Coconut oil(81.82% match #82101500); Popcorn cake(60.87% match #54319020); Carrot juice(60.87% match #73105010); 
"Halva, carrot","Halvah, plain(61.54% match #91716010); "
"Halva, semolina","Halvah, plain(71.43% match #91716010); "
Peppermint creams,"Pie, lemon cream(66.67% match #53345000); "
"Toffees, mixed","Toffee, plain(66.67% match #91760000); "
Fruit gums/jellies,Fruity Pebbles(62.5% match #57223000); 
Nougat,"Nougat, plain(63.16% match #91726000); "
Peppermints,Pepperoni(70.0% match #25221250); Pepper steak(60.87% match #27416150); 
Peanut brittle,Peanut brittle(100.0% match #91733000); Peanut oil(75.0% match #82105000); Peanut bar(75.0% match #91732000); 
Marshmallows,Marshmallow(95.65% match #91723000); 
Liquorice shapes,
Fruit pastilles,Fruity Pebbles(62.07% match #57223000); Fruit sauce(61.54% match #91361020); 
Foam sweets,"Flax seeds(66.67% match #43104000); Tamale, sweet(66.67% match #53430700); "
Chew sweets,Chicken feet(60.87% match #24198500); 
Cereal crunchy bar,
Boiled sweets,"Mixed seeds(66.67% match #43107000); Tamale, sweet(61.54% match #53430700); "
Liquorice allsorts,
Sherbert sweets,
Wheat crunchies,"Wheaties(69.57% match #57418000); Wheat bran, unprocessed(63.16% match #57601100); "
Chevda/chevra/chewra,
Punjabi puri,
Oriental mix,
Maize and rice flour snacks,
Corn and starch snacks,
Pretzels,"Pretzels, NFS(76.19% match #54408000); Pretzels, hard(72.73% match #54408010); Pretzels, soft(72.73% match #54408020); "
Sev/ganthia,
Mixed cereal and potato flour snacks,
Potato and corn sticks,Potato and cheese soup(63.64% match #71801100); Potato pancake(61.11% match #71701000); 
Potato and tapioca snacks,Potato pancake(61.54% match #71701000); 
"Potato crisps, jacket","Goat ribs, cooked(63.16% match #23150300); Potato pancake(62.86% match #71701000); "
Puffed potato products,
"Potato crisps, thick, crinkle-cut",
"Potato crisps, square",
"Potato crisps, crinkle cut","White potato chips, regular cut(63.16% match #71201015); "
"Potato crisps, thick-cut","Pizza, no cheese, thick crust(60.38% match #58107100); "
Twiglets,Sixlets(66.67% match #91746120); 
Tortilla chips,"Tortilla, corn(71.43% match #52215100); Yogurt chips(69.23% match #54430010); Taro chips(66.67% match #71980200); "
Potato rings,Potato pudding(76.92% match #71702000); Tomato relish(64.0% match #74405010); 
Potato crisps,"Pita chips(69.57% match #54402700); Potato chowder(66.67% match #71803010); Sweet potato, chips(62.5% match #73410210); "
"Pot savouries, made up",
Pot savouries,
"Popcorn, plain","Popcorn, flavored(70.97% match #54403050); Honeycomb, plain(66.67% match #57238000); Dumpling, plain(62.07% match #55610300); "
"Popcorn, candied","Popcorn cake(78.57% match #54319020); Popcorn, flavored(72.73% match #54403050); Apple, candied(66.67% match #63401060); "
Pork scratchings,"Pork, cracklings, cooked(65.0% match #22704010); Pork sandwich(62.07% match #27520520); "
Corn snacks,"Cracker, snack(64.0% match #54301000); Gelatin snacks(64.0% match #91501015); "
Breadsticks,"Bread stick, soft(78.57% match #51184010); Bread, rice(63.64% match #51806010); "
Bombay mix,
"Potato crisps, low fat",
"Icing, butter","Icing, white(72.0% match #91305020); Honey butter(64.0% match #81322000); Icing, chocolate(62.07% match #91305010); "
"Lemon curd, homemade",
"Mincemeat, vegetarian","Baked beans, vegetarian(68.18% match #41201020); "
"Jam, reduced sugar","Trix, reduced sugar(81.08% match #57407110); Granola bar, reduced sugar, NFS(65.31% match #53713000); Jelly, reduced sugar, all flavors(62.75% match #91405500); "
Chocolate nut spread,"Chocolate gravy(68.57% match #91303750); Chocolate, white(66.67% match #91705400); Chocolate, white, with cereal(61.22% match #91705420); "
"Icing, glace","Icing, chocolate(71.43% match #91305010); Icing, white(66.67% match #91305020); "
Fruit spread,"Fruit syrup(69.57% match #91301050); Fruit sauce(69.57% match #91361020); Fruit peel, candied(64.52% match #91708000); "
"Jam, diabetic",
"Jam, fruit with edible seeds",
"Jam, stone fruit",
Marmalade,
"Marmalade, diabetic",
Mincemeat,
Chocolate spread,"Chocolate gravy(77.42% match #91303750); Chocolate, white(68.75% match #91705400); Pie, chocolate cream(66.67% match #53342000); "
"Icing, fondant","Icing, chocolate(66.67% match #91305010); Icing, white(61.54% match #91305020); "
"Icing, Royal","Icing, chocolate(64.29% match #91305010); "
Lemon curd,"Lemon, raw(70.0% match #61113010); "
"Ice cream sauce, topping","Ice cream cone, no topping, NS as to flavor(62.69% match #13120740); Ice cream sundae cone(62.22% match #13120790); Ice cream soda, chocolate(61.22% match #13120810); "
"Treacle, black","Bread, black(76.92% match #51407010); "
"Glucose liquid, BP",
Honeycomb,"Honeycomb, plain(72.0% match #57238000); Honey(71.43% match #91302010); "
Jaggery,
Molasses,Molasses(100.0% match #91303000); 
"Sugar, brown","Sugar, brown(100.0% match #91102010); Sugar, raw(81.82% match #91104200); Sugar, brown, liquid(75.0% match #91303500); "
"Syrup, golden, pouring",
"Sugar, icing","Sugar, cinnamon(74.07% match #91104100); Sugar, raw(63.64% match #91104200); "
"Sugar, white","Flour, white(75.0% match #50010000); Sugar, raw(72.73% match #91104200); Sugar, brown(66.67% match #91102010); "
"Syrup, corn, dark","Corn syrup, light or dark(61.9% match #91301030); "
"Syrup, maple","Sugar, maple(75.0% match #91103010); Syrup, NFS(63.64% match #91300010); "
"Syrup, golden","Syrup, dietetic(64.29% match #91351010); "
"Sugar, Demerara","Sugar, raw(72.0% match #91104200); "
Honey,Honey(100.0% match #91302010); 
"Pigeon peas, dahl, dried, raw","Pepper, sweet, red, raw(61.54% match #75122200); "
"Pigeon peas, dahl, dried, boiled in unsalted water",
"Pinto beans, dried, raw","Peas, green, raw(66.67% match #75120000); Beans, lima, raw(61.54% match #75102000); "
"Pinto beans, dried, boiled in unsalted water",
"Pinto beans, re-fried beans",
"Red kidney beans, dried, boiled in unsalted water","Red kidney beans, dry, cooked, fat added in cooking(62.0% match #41106010); Red kidney beans, dry, cooked, fat not added in cooking(61.54% match #41106020); "
"Pigeon peas, whole, dried, boiled in unsalted water",
"Lentils, red, split, dried, raw",
"Red kidney beans, dried, raw","Red kidney beans, dry, cooked, fat added in cooking(63.29% match #41106010); Red beans and rice(60.87% match #58160150); "
"Pigeon peas, whole, dried, raw","Pepper, sweet, red, raw(67.92% match #75122200); "
"Papri beans, raw","Pepper, banana, raw(68.57% match #75124000); Pepper, poblano, raw(66.67% match #75121400); Pepper, Serrano, raw(66.67% match #75121500); "
"Mung beans, dahl, dried, raw",
"Mung beans, whole, dried, boiled in unsalted water",
"Mung beans, whole, dried, raw",
Miso,
"Runner beans, raw","Currants, raw(66.67% match #63117010); Youngberries, raw(64.71% match #63224000); Pepper, banana, raw(61.11% match #75124000); "
"Lentils, canned in tomato sauce, re-heated","Manicotti, cheese-filled, with tomato sauce, meatless(61.05% match #58133120); Pasta with cheese and tomato sauce, meatless(60.47% match #58146150); "
"Tofu, soya bean, fu juk",
"Lentils, green and brown, whole, dried, boiled in salted water",
"Lilva beans, canned, drained","Sea bass, coated, fried(66.67% match #26141140); Peas, from canned, creamed(62.96% match #75417013); Refried beans, canned, low sodium (61.29% match #41205040); "
"Beansprouts, mung, stir-fried in blended oil",
"Mung beans, dahl, dried, boiled in unsalted water",
"Lentils, green and brown, whole, dried, raw",
"Lentils, red, split, dried, boiled in unsalted water",
Hummus,Hummus(100.0% match #41205070); 
"Green beans/French beans, frozen, boiled in unsalted water","Green banana, cooked (in salt water)(65.96% match #71910110); "
"Green beans/French beans, raw",
"Chick peas, whole, dried, boiled in unsalted water",
"Tofu, soya bean, steamed","Roll, oat bran, toasted(63.83% match #51502110); "
"Broad beans, frozen, boiled in unsalted water","Green banana, cooked (in salt water)(61.73% match #71910110); "
"Runner beans, boiled in salted water","Green banana, cooked (in salt water)(66.67% match #71910110); "
"Beansprouts, mung, raw","Beans, lima, raw(68.42% match #75102000); Brussels sprouts, raw(65.12% match #75102750); "
"Tofu, soya bean, steamed, fried","Soybean curd, breaded, fried(64.41% match #41421020); "
"Red kidney beans, canned, re-heated, drained","Red kidney beans, canned, low sodium, fat added in cooking(64.71% match #41106110); Red kidney beans, canned, low sodium, fat not added in cooking (61.68% match #41106120); "
Tempeh,
"Sword beans, raw","Corn, raw(64.0% match #75109600); Currants, raw(62.07% match #63117010); Collards, raw(62.07% match #72107100); "
"Soya beans, dried, boiled in unsalted water",
"Soya beans, dried, raw","Cabbage, red, raw(66.67% match #75105000); Beans, lima, raw(63.16% match #75102000); Peas, green, raw(63.16% match #75120000); "
"Runner beans, boiled in unsalted water","Green banana, cooked (in salt water)(64.86% match #71910110); "
"Butter beans, canned, re-heated, drained",
"Baked beans, canned in tomato sauce, with pork sausages",
"Blackeye beans, dried, raw","Blackberries, raw(69.77% match #63201010); Blueberries, raw(61.9% match #63203010); Beans, lima, raw(61.9% match #75102000); "
"Black gram, duhli urad dahl, dried, boiled in unsalted water",
"Black gram, duhli urad dahl, dried, raw",
"Black gram, chilki urad dahl, dried, raw",
"Black gram, urad gram, dried, raw",
"Beansprouts, mung, canned, drained","Peas and carrots, from canned, creamed(63.89% match #73111033); Peas, from canned, creamed(63.33% match #75417013); Turnips, from canned, creamed(60.32% match #75418103); "
"Beansprouts, mung, boiled in salted water",
"Barbecue beans, canned in sauce",Barbecue sauce(62.22% match #74406010); Red beans and rice(61.22% match #58160150); 
"Blackeye beans, dried, boiled in unsalted water","Green banana, cooked (in salt water)(60.24% match #71910110); "
"Balor beans, raw","Salmon, raw(66.67% match #26137100); Banana, raw(66.67% match #63107010); Dandelion greens, raw(64.86% match #72113100); "
"Black gram, chilki urad dahl, dried, boiled in unsalted water",
"Baked beans, canned in tomato sauce, with burgers",
"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",
"Baked beans, canned in tomato sauce, reduced sugar",
"Baked beans, canned in tomato sauce, re-heated",
"Baked beans, canned in tomato sauce","Peas, cooked, from canned, with tomato sauce(68.35% match #75417033); Red beans and rice(60.38% match #58160150); "
"Aduki beans, dried, boiled in unsalted water",
"Haricot beans, dried, boiled in unsalted water",
"Papri beans, canned, drained","Sea bass, coated, fried(66.67% match #26141140); Peas, from canned, creamed(66.67% match #75417013); Apricot, cooked or canned, drained solids(60.87% match #63103150); "
"Balor beans, canned, drained","Sea bass, coated, fried(66.67% match #26141140); Peas, from canned, creamed(62.96% match #75417013); Tomatoes, red, dried(62.5% match #74206000); "
"Chick peas, split, dried, boiled in unsalted water","Chicken, breast, roasted, broiled, or baked, skin not eaten(60.55% match #24122120); "
"Haricot beans, dried, raw","Raspberries, red, raw(65.22% match #63219020); Cabbage, red, raw(61.9% match #75105000); "
"Green beans/French beans, canned, re-heated, drained",
"Green beans/French beans, boiled in unsalted water","Green banana, cooked (in salt water)(69.77% match #71910110); "
"Green beans/French beans, boiled in salted water","Green banana, cooked (in salt water)(71.43% match #71910110); "
"Cluster beans, raw","Currants, raw(70.97% match #63117010); Mustard greens, raw(64.86% match #72122100); Celery, raw(62.07% match #75109000); "
"Black gram, urad gram, dried, boiled in unsalted water",
"Chick peas, canned, re-heated, drained","Chicken, canned, meat only(65.62% match #24198570); "
"Broad beans, raw","Ground beef, raw(68.75% match #21500000); Baked beans, NFS(68.75% match #41201010); Baked beans, vegetarian(66.67% match #41201020); "
"Aduki beans, dried, raw","Beans, lima, raw(61.54% match #75102000); Peas, green, raw(61.54% match #75120000); "
"Chick peas, split, dried, raw","Cherries, sour, red, raw(67.92% match #63113010); Pepper, sweet, red, raw(61.54% match #75122200); "
"Chick peas, whole, dried, raw","Cherries, sour, red, raw(67.92% match #63113010); Pepper, sweet, red, raw(61.54% match #75122200); "
Chick pea flour,
"Butter beans, dried, boiled in unsalted water","Butter, whipped, tub, unsalted(61.33% match #81101110); "
"Butter beans, dried, raw","Beans, lima, raw(65.0% match #75102000); Currants, dried(61.54% match #62108100); Beans, string, green, raw(61.22% match #75101800); "
"Broad beans, boiled in salted water","Green banana, cooked (in salt water)(67.61% match #71910110); "
"Broad beans, canned, re-heated, drained",
"Broad beans, dried, raw","Beans, lima, raw(66.67% match #75102000); Cabbage, red, raw(65.0% match #75105000); Peas, green, raw(61.54% match #75120000); "
"Broad beans, boiled in unsalted water","Green banana, cooked (in salt water)(65.75% match #71910110); "
"Chilli beans, canned, re-heated","Chicken, canned, meat only(63.16% match #24198570); Peas, from canned, creamed(63.16% match #75417013); "
"Chips, retail, fried in vegetable oil",
"Oven chips, thick cut, frozen, baked",
"Chips, homemade, fried in dripping",
"Chips, homemade, fried in blended oil","Shrimp, coated, fried, made with oil(60.27% match #26319140); "
"Chips, homemade, fried in sunflower oil",
"Chips, retail, fried in dripping",
"Chips, retail, fried in sunflower oil",
"Chips, French fries, retail",
"Chips, straight cut, frozen, fried in corn oil",
"Chips, oven, frozen, baked","Turnips, from frozen, creamed(65.45% match #75418102); "
"Chips, retail, fried in corn oil",
"Chips, fine cut, frozen, fried in corn oil",
"Chips, crinkle cut, frozen, fried in corn oil",
"Chips, homemade, fried in corn oil",
"Chips, fine cut, frozen, fried in dripping",
"Chips, fine cut, frozen, fried in blended oil",
"Chips, straight cut, frozen, fried in dripping",
"Chips, straight cut, frozen, fried in blended oil",
"Chips, retail, fried in blended oil",
"Chips, thick cut, frozen, fried in corn oil",
"Chips, microwave, cooked","Beef, cow head, cooked(60.87% match #21305000); Corn, dried, cooked(60.47% match #75216070); "
"New potatoes, boiled in unsalted water",
"New potatoes, in skins, boiled in salted water",
"New potatoes, in skins, boiled in unsalted water",
"New potatoes, chipped, fried in corn oil","Peas and potatoes, cooked, fat added in cooking(62.07% match #75315310); "
"New potatoes, frozen, `roast' in corn oil",
"New potatoes, boiled in salted water","Green banana, cooked (in salt water)(61.11% match #71910110); "
"New potatoes, average, raw","Tomatoes, green, raw(65.22% match #74102000); "
"New potatoes, canned, re-heated, drained","Sweet potatoes, baby food, strained(61.33% match #76209010); "
"Old potatoes, Pentland Crown, raw",
"Old potatoes, baked, flesh only",
"Old potatoes, mashed with margarine","Cod, coated, fried, made with margarine(70.27% match #26109142); Flounder, coated, fried, made with margarine(68.35% match #26115142); Salmon, coated, fried, made with margarine(67.53% match #26137142); "
"Old potatoes, boiled in salted water",
"Old potatoes, boiled in unsalted water",
"Old potatoes, mashed with polyunsatd. margarine","Cod, coated, fried, made with margarine(60.47% match #26109142); "
"Old potatoes, mashed with soft margarine","Cod, coated, fried, made with margarine(65.82% match #26109142); Flounder, coated, fried, made with margarine(64.29% match #26115142); Salmon, coated, fried, made with margarine(63.41% match #26137142); "
"Old potatoes, mashed with butter","Cod, coated, fried, made with butter(67.65% match #26109141); Flounder, coated, fried, made with butter(65.75% match #26115141); Salmon, coated, fried, made with butter(64.79% match #26137141); "
"Old potatoes, mashed with hard margarine","Cod, coated, fried, made with margarine(65.82% match #26109142); Flounder, coated, fried, made with margarine(64.29% match #26115142); Salmon, coated, fried, made with margarine(63.41% match #26137142); "
"Old potatoes, King Edward, raw",
"Old potatoes, Desiree, raw","Tomatoes, green, raw(69.57% match #74102000); "
"Old potatoes, baked, flesh only, weighed with skin",
"Old potatoes, baked, flesh and skin","Peas and potatoes, cooked, fat added in cooking(60.98% match #75315310); "
"Old potatoes, average, raw","Tomatoes, green, raw(65.22% match #74102000); "
"Old potatoes, roast in lard","Bread, potato, toasted(61.22% match #51127020); "
"Old potatoes, roast in blended oil",
"Old potatoes, Maris Piper, raw",
"Old potatoes, roast in corn oil",
"Peas, frozen, boiled in salted water","Green banana, cooked (in salt water)(61.11% match #71910110); "
"Split peas, dried, boiled in unsalted water",
"Sugar-snap peas, raw","Sugar, raw(66.67% match #91104200); "
"Sugar-snap peas, boiled in salted water","Green banana, cooked (in salt water)(61.33% match #71910110); "
"Mange-tout peas, boiled in salted water",
"Mushy peas, canned, re-heated","Mushrooms, from canned, creamed(66.67% match #75414013); Peas, from canned, creamed(65.45% match #75417013); Turnips, from canned, creamed(62.07% match #75418103); "
"Peas, boiled in salted water","Green banana, cooked (in salt water)(65.62% match #71910110); "
"Peas, boiled in unsalted water","Green banana, cooked (in salt water)(63.64% match #71910110); "
"Peas, canned, re-heated, drained","Peas, from canned, creamed(65.52% match #75417013); "
"Split peas, dried, raw","Raspberries, red, raw(65.12% match #63219020); Peas, green, raw(63.16% match #75120000); "
"Peas, raw","Pear, raw(88.89% match #63137010); Cress, raw(73.68% match #72110100); Beets, raw(73.68% match #75102500); "
"Mange-tout peas, stir-fried in blended oil",
"Processed peas, canned, re-heated, drained",
"Mange-tout peas, raw","Mango, raw(66.67% match #63129010); Tomatoes, raw(60.61% match #74101000); "
"Marrowfat peas, canned, re-heated, drained",
"Peas, dried, raw","Peas, green, raw(81.25% match #75120000); Beans, lima, raw(68.75% match #75102000); Cabbage, red, raw(66.67% match #75105000); "
"Peas, dried, boiled in unsalted water","Pear, dried, cooked, unsweetened(63.77% match #62119220); "
"Peas, frozen, raw","Peas, green, raw(84.85% match #75120000); Peas, from frozen, creamed(74.42% match #75417012); Peas, from fresh, creamed(66.67% match #75417011); "
"Pease pudding, canned, re-heated, drained",
"Petit pois, frozen, boiled in salted water",
"Petit pois, frozen, boiled in unsalted water",
"Petit pois, canned, drained","Peas, from canned, creamed(64.15% match #75417013); Plum, cooked or canned, drained solids(61.54% match #63143150); Turnips, from canned, creamed(60.71% match #75418103); "
"Peas, frozen, boiled in unsalted water",
"Potato fritters, battered, cooked","Pork, tenderloin, battered, fried(60.61% match #22210450); "
"Instant potato powder, raw",
"Instant potato powder, made up with water","Potato soup, prepared with water(60.27% match #71801020); "
"Instant potato powder, made up with whole milk","Eggnog, made with whole milk(64.86% match #11531000); "
"Instant potato powder, made up with semi-skimmed milk",
"Instant potato powder, made up with skimmed milk",
"Potato croquettes, fried in blended oil",
Potato flour,Potato chowder(69.23% match #71803010); 
"Potato waffles, frozen, cooked","Papaya, green, cooked(62.75% match #63133050); "
"Peppers, stuffed with vegetables, cheese topping","Celery, stuffed with cheese(64.0% match #75141500); "
"Pakora/bhajia, cauliflower, fried in vegetable oil",
"Pakora/bhajia, onion, fried in vegetable oil",
"Pakora/bhajia, potato, fried in vegetable oil",
"Pakora/bhajia, potato and cauliflower, fried in vegetable oil",
"Pakora/bhajia, potato, carrot and pea, fried in vegetable oil",
"Pakora/bhajia, spinach, fried in vegetable oil","Wrap sandwich, filled with vegetables(60.24% match #58200250); "
"Pancakes, stuffed with vegetables, wholemeal","Spaghetti sauce with vegetables, homemade-style(61.54% match #74404020); "
Pastichio,Pistachio nuts(60.87% match #42114130); Plantain chips(60.87% match #71905410); 
"Flan, lentil and tomato, wholemeal",
"Peppers, stuffed with rice","Celery, stuffed with cheese(75.47% match #75141500); "
"Moussaka, vegetable","Bread, vegetable(68.57% match #51135000); Quesadilla with vegetables(62.22% match #58104750); Dumpling, vegetable (61.54% match #58121620); "
Pesto sauce,Pesto sauce(100.0% match #81302070); Dessert sauce(75.0% match #91361040); Sesame sauce(69.57% match #43103100); 
"Pie, Quorn and vegetable","Pickles, NS as to vegetable(66.67% match #75511100); Shortening, vegetable(62.22% match #81203100); "
"Pie, spinach","Pie, squash(69.57% match #53347600); Peach, spiced(64.0% match #63135660); "
"Pie, vegetable, wholemeal","Wine, table, white(65.12% match #93401020); "
"Pilaf, rice with spinach",
"Pilau, egg and potato","Pie, sweet potato(63.16% match #53360000); "
"Pilau, egg and potato, brown rice",
"Pilau, mushroom","Gravy, mushroom(73.33% match #28500100); "
"Pilau, vegetable","Bread, vegetable(75.0% match #51135000); Dumpling, vegetable (66.67% match #58121620); Pickles, NS as to vegetable(65.12% match #75511100); "
"Pasty, vegetable, wholemeal","Bread, vegetable, toasted(61.54% match #51135010); "
"Leeks in cheese sauce, made with whole milk","Beer cheese soup, made with milk(74.67% match #14710200); Cheese sauce made with lowfat cheese(63.29% match #14650150); Coffee, mocha, made with soy milk(63.16% match #92101960); "
"Flan, spinach",
"Flan, spinach, wholemeal",
"Flan, vegetable, wholemeal","Bread, vegetable, toasted(62.75% match #51135010); Dumpling, vegetable (60.87% match #58121620); "
"Fu-fu, sweet potato","Pie, sweet potato(77.78% match #53360000); Sweet potato, NFS(61.11% match #73401000); "
"Fu-fu, yam",
Khadhi,
Khatiyu,
"Khichadi, with butter ghee",
"Khichadi, with vegetable oil","Biryani with vegetables(70.59% match #58160000); Macaroni, creamed, with vegetables(64.52% match #58147350); Sushi, with vegetables and seafood(64.52% match #58151130); "
"Pakora/bhajia, aubergine, fried in vegetable oil",
"Lasagne, vegetable","Bread, vegetable(70.59% match #51135000); Lasagna, meatless, with vegetables(69.23% match #58130320); Shortening, vegetable(61.54% match #81203100); "
"Okra with tomatoes and onion, West Indian",
"Leeks in cheese sauce, made with semi-skimmed milk","Beer cheese soup, made with milk(68.29% match #14710200); "
"Leeks in cheese sauce, made with skimmed milk","Beer cheese soup, made with milk(72.73% match #14710200); Coffee, mocha, made with soy milk(61.54% match #92101960); "
"Lentil cutlets, fried in vegetable oil",
Lentil pie,
Lentil and cheese pie,Potato and cheese soup(65.12% match #71801100); Vegetables and cheese in pastry(61.54% match #58127150); 
Lentil and potato pie,Vegetarian pot pie(66.67% match #41812400); Sweet potato paste(61.54% match #91407120); 
Lentil and rice roast,"Bread, rice, toasted(63.41% match #51806020); "
"Lentil and rice roast, with egg",
"Potatoes, duchesse",Potato and cheese soup(65.0% match #71801100); Potato chowder(62.5% match #71803010); 
"Lasagne, spinach","Lasagna with meat and spinach(66.67% match #58130020); Lasagna with meat, spinach noodles(64.0% match #58130910); Lasagna, meatless, spinach noodles(64.0% match #58130950); "
Tabouleh,
"Potato cakes, fried in lard","Potato soup, prepared with water(61.02% match #71801020); "
"Salad, tomato and onion",
"Salad, vegetable, canned","Bread, vegetable, toasted(73.47% match #51135010); Raw vegetable, NFS(61.9% match #75100250); Vegetables, pickled(60.47% match #75515100); "
"Salad, Waldorf",
"Sauce, curry, onion, with butter",
"Sauce, curry, onion, with vegetable oil",Biryani with vegetables(61.29% match #58160000); 
"Sauce, curry, sweet",
"Sauce, curry, tomato and onion",
"Sauce, tomato and mushroom",
"Salad, potato, with mayonnaise","Egg salad, made with mayonnaise(75.41% match #32103000); Potato salad, made with mayonnaise(71.88% match #71603010); Potato salad, made with light mayonnaise(65.71% match #71603015); "
Sweet potato and onion layer,"Sweet potato, canned in syrup(77.19% match #73407020); Sweet potato, canned without syrup(67.74% match #73407010); Sweet potatoes, baby food, junior(65.57% match #76209020); "
"Salad, potato, with French dressing","Egg salad, made with creamy dressing(67.61% match #32103030); Potato salad, made with creamy dressing(64.86% match #71603030); Egg salad, made with light creamy dressing(62.34% match #32103035); "
"Tempeh burgers, fried in vegetable oil",
"Tofu burger, baked","Taco burger, on bun(64.86% match #27510420); Taro, baked(62.07% match #71962040); "
Tofu spread,Roast beef spread(64.29% match #25240310); Corned beef spread(62.07% match #25240320); 
"Vine leaves, stuffed with rice","Grape leaves stuffed with rice(86.67% match #58161510); Celery, stuffed with cheese(70.18% match #75141500); "
"Curry, vegetable, in sweet sauce",
"Curry, egg, in sweet sauce",
"Pilaf, rice with tomato",Fish and rice with tomato-based sauce(63.33% match #27250810); 
"Tomatoes, stuffed with vegetables","Cheese, processed, with vegetables(68.66% match #14410600); Gelatin salad with vegetables(67.74% match #91501100); Celery, stuffed with cheese(63.33% match #75141500); "
"Cabbage, red, cooked with apple","Cabbage, red, pickled(69.23% match #75502510); Cabbage, red, cooked, fat added in cooking(68.49% match #75212020); Prune, dried, cooked, with sugar(66.67% match #62122230); "
"Shepherd's pie, vegetable","Shepherds pie with lamb(70.83% match #27330010); Shortening, vegetable(65.22% match #81203100); Chinese preserved sweet vegetable(62.07% match #91408100); "
"Rice and split peas, brown rice","Chips, brown rice(62.5% match #54318000); "
Mchicha,
Ratatouille,Ratatouille(100.0% match #75316050); 
Re-fried beans,"Refried beans(96.3% match #41205010); Refried beans with meat(70.27% match #41205030); Rice, fried, meatless(62.86% match #58150110); "
Red pea loaf,Veal loaf(66.67% match #25230810); Rice pilaf(63.64% match #58162310); 
Rice and black-eye beans,
"Rice and black-eye beans, brown rice",
Rice and pigeon peas,
"Rice and pigeon peas, brown rice","Chips, brown rice(61.22% match #54318000); "
Rice and red kidney beans,
"Salad, rice, brown","Sugar, brown(66.67% match #91102010); "
Rice and split peas,
"Potato cakes, fried in vegetable oil",
"Risotto, vegetable, brown rice",
"Rissoles, chick pea, fried in sunflower oil",
"Rissoles, chick pea, fried in vegetable oil",
"Rissoles, vegetable, fried in sunflower oil",
"Rissoles, vegetable, fried in vegetable oil","Mixed vegetables, garden vegetables, baby food, junior(61.86% match #76407020); "
"Roulade, spinach",
"Salad, beetroot","Salami, beef(66.67% match #25221530); "
"Salad, Greek","Salami, beef(66.67% match #25221530); "
"Salad, pasta",Flavored pasta(69.23% match #58147510); Guava paste(60.87% match #91407100); 
"Rice and red kidney beans, brown rice",
"Curry, chick pea dahl and spinach, with vegetable oil",
"Curry, egg and potato",
"Flan, lentil and tomato",
"Curry, black gram dahl",
"Curry, black gram, whole, Bengali",
"Curry, black gram, whole, Gujerati",
"Curry, black gram, whole and red kidney bean",
"Curry, black-eye bean, Gujerati",
"Curry, Bombay potato",
"Curry, cabbage",
"Okra with tomatoes and onion, Greek",
"Curry, chick pea dahl and spinach, with butter",
"Crumble, vegetable in tomato base","Bread, vegetable, toasted(65.52% match #51135010); Cucumber and vegetable namasu(64.52% match #75142000); "
"Curry, chick pea, whole",
"Curry, chick pea, whole, basic","Cracker, cheese, whole grain(62.07% match #54304150); "
"Curry, chick pea, whole and potato",
"Curry, chick pea, whole and tomato, Gujerati, with butter ghee",
"Curry, chick pea, whole and tomato, Gujerati, with vegetable oil",
"Curry, courgette and potato",
"Curry, dudhi, kofta",
"Curry, egg, with butter","Gravy, meat, with fruit(60.87% match #28500020); "
"Curry, egg, with vegetable oil","Cheese, cottage, with vegetables(64.52% match #14202020); Biryani with vegetables(64.15% match #58160000); Macaroni, creamed, with vegetables(62.5% match #58147350); "
"Curry, cauliflower and potato",
"Chilli, bean and lentil","Canola, soybean and sunflower oil(60.71% match #82105800); "
Callaloo and cho cho,
Callaloo and okra,"Calamondin, raw(62.5% match #61100500); "
"Cannelloni, spinach",
"Casserole, bean and mixed vegetable",
"Casserole, bean and root vegetable",
"Casserole, sweet potato and green banana",
"Cauliflower cheese, made with skimmed milk","Beer cheese soup, made with milk(67.57% match #14710200); Coffee, mocha, made with soy milk(61.33% match #92101960); "
"Cauliflower in white sauce, made with whole milk","Hot chocolate, Puerto Rican style, made with whole milk(62.14% match #11512500); Eggnog, made with whole milk(60.53% match #11531000); "
"Cauliflower in white sauce, made with semi-skimmed milk",
"Curry, almond","Cookie, almond(66.67% match #53202000); "
Cauliflower with onions and chilli pepper,
"Curry, aubergine",
"Chilli, Quorn",
"Cho cho fritters, fried in vegetable oil",
"Coco fritters, fried in vegetable oil",
Coo-coo,
"Corn fritters, fried in vegetable oil",
Corn pudding,"Noodle pudding(69.23% match #58149110); Potato pudding(69.23% match #71702000); Corn, scalloped or pudding(63.16% match #75411010); "
Courgettes with eggs,Cheese with nuts(61.11% match #14610520); 
"Crumble, vegetable in milk base",Cucumber and vegetable namasu(66.67% match #75142000); 
"Crumble, vegetable in milk base, wholemeal",
"Cauliflower in white sauce, made with skimmed milk",
